,text,image_caption,surface_message,background_knowledge,A,B,C,D,answer,expert_label,prompt,result_text,predicted_answer
732,ultimate cuddle buddy give lots of pets and treats.,It is an image of a goat laying on a bench in a field. .,It is an image of a goat laying on a bench in a field. . The author describes the image as ultimate cuddle buddy give lots of pets and treats.,A pet is animal kept in the home as a family member. Pets are often cuddled with to relieve stress.,Goats can be good pets.,Goats can be pets.,The author is suggesting that the goat is a good pet to cuddle with.,The goat is a lovable cuddly pet. ,D,N,nan,nan,n
733,"healthcare is a right and the government should pay for it guns are a right, should the government pay pay for them too?","It is 3 side by side images, two of which are Bernie Sanders speaking at a podium in a suit and tie and another of Donald Trump hold a rifle on stage in a suit and tie.","Bernie Sanders is described saying ""healthcare is a right and the government should pay for it"" to which Donald Trump responds ""guns are a right, should the government pay for them to?"".",Knowledge of Bernie Sanders and Donald Trump and their political stances and the debates on healthcare and gun control in the United States.,"The author is comparing the idea of the government paying for healthcare to the idea of the government paying for guns, suggesting that if one is a right, so should the other.",The government should not pay for healthcare or guns.,The government should not pay for healthcare because it does not pay for guns for civilians.,"The meme is comparing the concept of healthcare as a right to the concept of gun ownership as a right, suggesting that if one is a right, so should the other.",C,N,nan,nan,n
734,"""i hope the electoral college gets beat in the ncaa tournament "".",It is an image of US Representative Alexandria Ocasio-Cortez.,"It is an image of US Representative Alexandria Ocasio-Cortez. The person in the meme says that ""i hope the electoral college gets beat in the ncaa tournament "".", Understanding of the electoral college system in the United States. Knowledge of the NCAA tournament and how it works. Familiarity with Alexandria Ocasio-Cortez and her political stance and affiliations,The electoral college system should be replaced with a more democratic system.,The meme is making fun of Alexandria Ocasio-Cortez and her political stance.,"The author is comparing the electoral college system to a sports tournament and suggesting that it should be eliminated or defeated, similar to how teams are eliminated in a sports tournament.",Alexcandria Ocasio-Cortez is does not know the electoral college is not the same as a college that competes in a basketball tournament,D,N,nan,nan,n
735,who's down for a 3.5 way.,It is an image of a pair of conjoined twins sitting in front of a bunch of microphones. Specific races are present in the image as the two women appear to be of Middle Eastern descent. Islam is also present in the image. There are no specific sexual orientations or celebrities present.,It is an image of a pair of conjoined twins sitting in front of a bunch of microphones. Specific races are present in the image as the two women appear to be of Middle Eastern descent. Islam is also present in the image. There are no specific sexual orientations or celebrities present. The author describes the image as who's down for a 3.5 way.,1. Awareness of the concept of a conjoined twin. 2. Awareness of the slang of n-way meaning n people having sex at the same.,The meme is making a crude joke about a sexual encounter involving conjoined twins.,"The author is suggesting that the conjoined twins are willing to participate in a sexual activity involving three people, but not quite a full-fledged threesome.","Conjoined twins are two people that share a body, so the author claims that they are 1.5 persons, the author jokes about having sex with them and calling it a 3.5 way.",The meme is making fun of conjoined twins and promoting a sexual act involving them.,C,H,nan,nan,n
736,when she's trying her hardest to make you cum but you already visited your favorite goat.,It is an image of an Arab man wearing a turban and smiling in a welcoming matter. .,It is an image of an Arab man wearing a turban and smiling in a welcoming matter. . The author describes the image as when she's trying her hardest to make you cum but you already visited your favorite goat.,Understand the Arabic norm to wear turbans and the culture surronding goats,"The Arab man is trying to make you happy, but you're already satisfied with your favorite goat.",Arab men prefer goats over women.,"The author is saying that the woman in the meme is trying her best to please the man, but he is more interested in his favorite goat.",Arab people fuck goats,D,H,nan,nan,n
737,look at my new goat cage,It is an image of 4 Arab men looking at their phones as a cage with a goat inside is present before them. ,"It is an image of 4 Arab men looking at their phones as a cage with a goat inside is present before them. One of them says to the others, ""look at my new goat cage"". ",Arab men often cover their heads with a piece of cloth. Goats are commonly used as food in the Arab countries in the Middle East. Many people are addicted to their phones and do not notice what is going on around them. ,People are so absorbed in their phones that they miss out on what's happening around them.,The author is making fun of Arab men who are so absorbed in their phones that they don't notice the goat cage right in front of them.,Do not always look at your phone and be present with your surroundings. ,Arab men are so focused on their phones that they don't notice the world around them.,C,N,nan,nan,n
738,best thing about her blowjob?... you know shes gonna swallow!!!.,It is an image of a skinny african woman kneeling in the dirt in a hut and kneading dough.,It is an image of a skinny african woman kneeling in the dirt in a hut and kneading dough. The author describes the image as best thing about her blowjob?... you know shes gonna swallow!!!.,"African countries are known for being poor and so they would not waste any food. When giving blowjobs, women often spit because it is disgusting but could be seen as a source of nourishment.",African women will swallow after a blowjob because they won't waste food.,The meme is trying to portray an offensive image of African women by associating them with a sexual act and suggesting that they would swallow semen as a source of nourishment.,The image is making fun of the woman's poverty and suggesting that she would swallow during a sexual act because she is poor and needs the nourishment.,The meme is making a crude joke about the woman's poverty and suggesting that she would swallow during a sexual act.,A,H,nan,nan,n
739,when you suicide bomb an islamic mosque during a friday worship.,"It is a photo of a slightly smiling Caucasian man with white, chalky ash covering his face.","It is a photo of a slightly smiling Caucasian man with white, chalky ash covering his face. The author describes the image as when you suicide bomb an islamic mosque during a friday worship.","Mosques have been the target of suicide bombings, often motivated by hatred against Muslims. During Friday worship, there are likely to be many people gathered within the mosque, which would increase the number of casualties.",The author is suggesting that the man in the photo is a suicide bomber who has just attacked an Islamic mosque during Friday worship.,The meme is promoting violence against a religious group.,Suicide bombings at Islamic mosques are justified.,The meme is making fun of suicide bombings targeting Muslims.,D,H,nan,nan,n
740,"stand your ground law. i said ""nibber get"" .",It is an image of 2 mug shots of a Caucasian man with a beard. .,"It is an image of 2 mug shots of a Caucasian man with a beard. . The person in the meme says that stand your ground law. i said ""nibber get"" .","The man is using the ""Stand Your Ground"" law as an excuse for why he was detained, even though the incident was due to racism.","The man is trying to avoid responsibility for his actions by using the ""Stand Your Ground"" law as an excuse.","Man was using the ""Stand Your Ground"" law to avoid punishment harming black people.","The meme is making fun of the ""Stand Your Ground"" law and how it can be used as an excuse for racist behavior.","The ""Stand Your Ground"" law is a valid excuse for racist behavior.",B,H,nan,nan,n
741,"i realized i have a road rage problem when my kid started yelling: ""pick a lane asshole!"" while in my grocery cart.",The image shows a young girl in a shopping cart.,"The image shows a young girl in a shopping cart. The author describes the image as i realized i have a road rage problem when my kid started yelling: ""pick a lane asshole!"" while in my grocery cart.","Road rage refers to anger that arises while driving, when another driver is not driving well or is taking selfish actions.  People with road rage often yell angry insults at others.  Children often imitate their parents.  In grocery stores, shopping carts often cause traffic in the aisles.","The author's child is imitating their road rage behavior, which shows that the author has a problem with anger while driving.",The author's child is learning and imitating their road rage behavior.,The meme is suggesting that the child's behavior is a result of the parent's road rage.,The narrator is joking that they have so much road rage that their child has started imitating them.,D,N,nan,nan,n
742,african kids dancing and celebrating.,"The image is a black and white photo of a young African boy. He is standing on the ground outside, in front of a lot of trees and holds a stick across his shoulders.  He is without a shirt and his ribs show through his skin.","The image is a black and white photo of a young African boy. He is standing on the ground outside, in front of a lot of trees and holds a stick across his shoulders.  He is without a shirt and his ribs show through his skin. The author describes the image as african kids dancing and celebrating.","Several countries in Africa struggle with the issue of population hunger, which leads to malnutrition in children. ",The meme makes fun of the issues with hunger in Africa and jokes about how they celebrate,The meme is making fun of the hunger and malnutrition in African children.,"The author is making a sarcastic comment about the reality of life for many African children, who often face hunger and malnutrition, rather than the celebratory image the author describes.",The meme is highlighting the harsh reality of poverty and hunger in Africa.,A,N,nan,nan,n
743,sea monkeys.,It is an image of a monkey sitting on a log on the beach.,It is an image of a monkey sitting on a log on the beach. The author describes the image as sea monkeys.,"Sea monkeys aren't actually monkeys, but instead an organism found in the ocean, completely unrelated to the monkey species.",The author is making a joke about sea monkeys by comparing them to a monkey on the beach.,The author is joking about the misconception of sea monkeys being actual monkeys.,Monkeys are not sea monkeys.,"The meme is making fun of the term ""sea monkeys"" by comparing it to a real monkey.",C,N,nan,nan,n
744,one small step for man one large step for mankind.,The image is a profile image of a black male with the left side of his body seemingly unclothed and his right side covered in a space suit.,The image is a profile image of a black male with the left side of his body seemingly unclothed and his right side covered in a space suit. The author describes the image as one small step for man one large step for mankind.,1. Knowledge of Neil Armstrong’s quote when stepping on the moon for the first time. 2. Knowledge of the push for greater African American representation in NASA,"The meme is making fun of the idea of a black astronaut, implying that it's a big deal because of the lack of representation of African Americans in NASA.",The meme is making a statement about the importance of African American representation in space exploration.,The meme is making a sarcastic comment about the lack of African American representation in space exploration.,Greater black representation in NASA would be positive for society.,D,N,nan,nan,n
745,feeling cute might write a diary later.,It is an image of Anne Frank smiling at the camera. .,It is an image of Anne Frank smiling at the camera. . The person in the meme says that feeling cute might write a diary later.,Anne Frank was a young girl who wrote a diary about her time hiding from the Nazis during World War 2. ,Anne Frank was a cute girl who wrote a diary.,Anne Frank's diary is a cute thing to do.,Anne Frank's diary is a cute and lighthearted thing.,It is funny to mock Anne Frank and other Jews who died at the hands of the Nazis. ,D,H,nan,nan,n
746,when you remember you have leftovers in the fride when you realize someone ate it before you got home,"It is an image of two pictures: the first picture shows a man who looks excited, and the second picture shows the same man looking disappointed.","The author describes the first picture as 'when you remember you have leftovers in the fride', and then describes the second picture as 'when you realize someone ate it before you got home'.",Leftovers are remains from a previous meal. Leftovers are considered convenient as they require minimal additional preparation.,The meme is highlighting the frustration of finding out that someone else has eaten the leftovers you were looking forward to.,The meme is making fun of the disappointment of finding out someone else has eaten the leftovers you were looking forward to.,It is disappointing when someone else eats your leftovers.,The author is expressing frustration at someone else eating their leftovers before they could enjoy them.,C,N,nan,nan,n
747,"adam schiff used tax payer money to pay off a 19 year old male due to sexual harrassment claims echo, if you are sick of this creepy & dosgraceful hypocrite, trashing our president !.","It is a close up image of Adam Schiff, a white man. No specific sexualities or religions are present.","It is a close up image of Adam Schiff, a white man. No specific sexualities or religions are present. The author describes the image as adam schiff used tax payer money to pay off a 19 year old male due to sexual harrassment claims echo, if you are sick of this creepy & dosgraceful hypocrite, trashing our president !.","Adam schiff was accused of using taxpayer money to settle a sexual harassment lawsuit with a 19 year old boy in 2013
Adam schiff has spoken against Donald trump",Adam Schiff is a hypocrite and a creep for allegedly using taxpayer money to settle a sexual harassment lawsuit and for criticizing President Trump.,Adam Schiff is a hypocrite who uses taxpayer money for personal gain and criticizes the president.,Adam schiff is a hypocrite who uses taxpayer money for his own benefit and criticizes the president.,Politicians who have done wrong should not speak against other politicians who do wrong,D,N,nan,nan,n
748,jew jerky: leave out in the sun until all moisture is gone store in a cool dark place for 3 days.,It is an image of Jesus being crucified while sunlight shines dramatically through the clouds.,It is an image of Jesus being crucified while sunlight shines dramatically through the clouds. The author describes the image as jew jerky: leave out in the sun until all moisture is gone store in a cool dark place for 3 days.,"Beef jerky is made by drying beef and is usually stored in a cool dark place. Jesus, who was Jewish, was crucified and then buried in a cave for 3 days before he was resurrected.","The meme is making a crude joke about Jesus' crucifixion and resurrection, comparing it to the process of making beef jerky.",The meme is making a crude joke about Jesus being turned into a type of jerky.,The author relates the process of making beef jerky to Jesus being crucified.,The meme is trying to make a joke about the crucifixion of Jesus by comparing it to the process of making beef jerky.,C,H,nan,nan,n
749,how to cook turkey in usa how to cook turkey in romania.,"It is an image of 2 pictures side by side. The first image shows a cooked and garnished turkey on a dinner plate, and the second image shows an angry man pulling a lasso around the neck of another, unconscious man.","It is an image of 2 pictures side by side. The first image shows a cooked and garnished turkey on a dinner plate, and the second image shows an angry man pulling a lasso around the neck of another, unconscious man. The person in the meme says that how to cook turkey in usa how to cook turkey in romania.","1. Turkey is a popular dish during Thanksgiving in the USA. 2. During the Romanian War of Independence, Romania fought against the Ottoman Empire, also known as the Turkish Empire. 3. Execution by hanging is often done with a noose, and is used to dispose of political enemies.","The meme is comparing the way turkey is cooked in the USA and Romania, suggesting that in Romania, they cook turkey by hanging it like a political enemy.",The meme is making a joke about the difference in how turkey is cooked in the USA and the execution of political enemies in Romania.,The meme is trying to portray an offensive image for Romanians as they are known to execute people by hanging them with a noose.,Turkey and Romania have hostile relations.,D,H,nan,nan,n
750,control the narrative still think all them shootings are done by black people. they are playing chess not checkers.,It is an image of 2 police officers escorting a man in handcuffs. All the people in the image are caucasians.,It is an image of 2 police officers escorting a man in handcuffs. All the people in the image are caucasians. The author describes the image as control the narrative still think all them shootings are done by black people. they are playing chess not checkers.,"1. Understanding of the racial dynamics in the United States, particularly in relation to crime and police shootings. 2. Familiarity with the game of chess, which is often used as a metaphor for strategic thinking and planning. 3. Awareness of the concept of ""controlling the narrative,"" which means shaping public opinion and perception on a particular issue. 4. Black people stereotypically are incarcerated for gun violence.",The police and the media are manipulating the public's perception of who is responsible for gun violence.,"The meme is suggesting that the police and media are manipulating the narrative to make it seem like black people are responsible for gun violence, when in reality, it's not just black people committing these crimes.",The author is saying that society is controlling the narrative that black people primarily do. In violence. Even though in the image a white person is being arrested.,"The author is saying that the police and media are manipulating the narrative to make it seem like black people are responsible for all the shootings, when in reality, it's a more complex issue involving different racial groups.",C,N,nan,nan,n
751,redneck murders are hard to solve there're no dental records and all of the dna is the same.,It is an image of an old white man wearing a cowboy hat.,It is an image of an old white man wearing a cowboy hat. The author describes the image as redneck murders are hard to solve there're no dental records and all of the dna is the same.,Redneck is a derogatory term for rural white people. Rednecks stereotypically have bad teeth and participate in incest.,Rednecks have bad teeth and are incestuous.,"Rednecks are so similar that it's hard to tell them apart, even with DNA evidence.",Rednecks are so similar in appearance and behavior that it's difficult to tell them apart or solve crimes involving them.,Rednecks are so similar that it's hard to solve crimes in their community.,A,H,nan,nan,n
752,trump: muslims should wear special id badges great idea.,"It is two images, one of Trump in front of an American flag and another of two Nazi officers riding in a car.","It is two images, one of Trump in front of an American flag and another of two Nazi officers riding in a car. The author describes the image as trump: muslims should wear special id badges great idea.",Jews were required to wear badges during the holocaust. Some have uncredibly claimed that Trump advocated for Muslims being required to wear badges.,Trump is a Nazi.,Trump's idea of Muslims wearing special ID badges is similar to the Nazi's treatment of Jews.,Trump is like a Nazi.,The author is comparing Trump's idea to the Nazi's treatment of Jews during the Holocaust.,A,H,nan,nan,n
753,"""if you see anybody from trump's cabinet in a restaurant, in a department store, at a gasoline station... you create a crowd and push back and tell them they're not welcome anywhere"" maxine waters june 24, 2018.",It is an image of Maxine giving a speech in front of an American flag.,"It is an image of Maxine giving a speech in front of an American flag. The author describes the image as ""if you see anybody from trump's cabinet in a restaurant, in a department store, at a gasoline station... you create a crowd and push back and tell them they're not welcome anywhere"" maxine waters june 24, 2018.",Maxine Waters is an African American representative in the US.,Maxine Waters is encouraging people to harass members of Trump's cabinet.,The meme is making fun of Maxine Waters' statement about not welcoming members of Trump's cabinet in public places.,Maxine Waters is encouraging people to harass and intimidate members of Trump's administration.,Maxine Waters incited violence against members of Trump's cabinet.,D,N,nan,nan,n
754,car accident on michigan ave.,It is an image of a big car pileup.,It is an image of a big car pileup. The author describes the image as car accident on michigan ave.,Michigan Avenue is a popular street in Chicago for both tourists and natives.,The author is saying that there was a big car accident on Michigan Avenue.,The meme is making fun of a car accident on a busy street.,Michigan Avenue is busy and thus prone to large car accidents.,A car accident occurred on Michigan Avenue.,C,N,nan,nan,n
755,happy kids.,It is an image of two boys and two girls placing their hands on top of each other and smiling in front of the camera. All children appear to be Caucasian except for one African-American boy. .,It is an image of two boys and two girls placing their hands on top of each other and smiling in front of the camera. All children appear to be Caucasian except for one African-American boy. . The author describes the image as happy kids.,,The image shows a diverse group of children who are happy and enjoying each other's company.,Forgetting to put the trash out on time means that the garbage truck won't come back to pick it up until the next day.,Kids can be happy regardless of their differences.,The meme is trying to show that children of different races can be friends and be happy together.,C,N,nan,nan,n
756,the culture of silence allows sexual harassment in the workplace to continue.,An image of a white woman with tape covering her mouth.,An image of a white woman with tape covering her mouth. The author describes the image as the culture of silence allows sexual harassment in the workplace to continue.,Sexual harassment is a problem in some workplaces. Some people do not speak up about sexual harassment in the workplace.,The image suggests that people should not stay silent about sexual harassment in the workplace.,People should speak up about sexual harassment.,The culture of silence enables sexual harassment to persist in the workplace.,The culture of silence enables sexual harassment to continue in the workplace.,B,N,nan,nan,n
757,"brows can't be rushed just like a mustache can't be rushed, you'll end up with too little or the wrong shape.","In the first image, a model is posing to show her face and fingers. The second image shows a black and white picture of Adolf Hitler.","In the first image, a model is posing to show her face and fingers. The second image shows a black and white picture of Adolf Hitler. The author describes the image as brows can't be rushed just like a mustache can't be rushed, you'll end up with too little or the wrong shape.",It takes time to grow mustaches and eyebrows. Hitler was the leader of the Nazi party in Germany and his most identifiable feature was his mustache.,Patience is important when growing facial hair.,The author is comparing the time it takes to grow a mustache to the time it takes to grow eyebrows.,Growing proper brows takes patience. Hitler's mustache looks weird.,The meme is making fun of Hitler's mustache.,C,N,nan,nan,n
758,"""lynch said her greatest fear is the incredibly disturbing rise of of - anti-muslim rhetoric"""" ....not the incredibly disturbing rise of radical islamic terrorists.",It is an image of an African American woman standing in front of a microphone.,"It is an image of an African American woman standing in front of a microphone. The author describes the image as ""lynch said her greatest fear is the incredibly disturbing rise of of - anti-muslim rhetoric"""" ....not the incredibly disturbing rise of radical islamic terrorists.","Understanding of the term ""radical Islamic terrorists"" and its association with terrorist attacks and violence. ",The author is suggesting that the rise of anti-Muslim rhetoric is more concerning than the rise of radical Islamic terrorists.,"The meme is suggesting that the woman's fear of anti-Muslim rhetoric is misplaced, as the real threat is the rise of radical Islamic terrorists.",Lynch is a hypocrite for not acknowledging the rise of islamic terrorists.,The meme is suggesting that the woman is more concerned about anti-Muslim rhetoric than the actual threat of radical Islamic terrorists.,C,H,nan,nan,n
759,we make sacrifices for love and peace in future.,It is an image of a man strangling a woman.,It is an image of a man strangling a woman. The author describes the image as we make sacrifices for love and peace in future.,Men often commit domestic violence against women.,Violence against women is necessary for love and peace.,Domestic violence is a sacrifice for love and peace.,Violence against women is a sacrifice for love and peace.,We should sacrifice women for the future.,D,N,nan,nan,n
760,"during the holocaust, jewish bodies were treated like trash.",It is an image of the bodies of victims of the holocaust piled up in a field.,"It is an image of the bodies of victims of the holocaust piled up in a field. The author describes the image as during the holocaust, jewish bodies were treated like trash.",Understanding of the Holocaust and its impact on Jewish people. Awareness of the inhumane treatment of victims during the Holocaust. Familiarity with the concept of dehumanization and its role in genocides.,The Holocaust was a horrific event where Jewish people were treated inhumanely and disrespectfully.,The meme is making fun of the Holocaust and the suffering of Jewish people.,There are so many Jewish people who died during the Holocaust that their bodies were treated like trash.,"The author is comparing the treatment of Jewish bodies during the Holocaust to the way trash is treated, highlighting the dehumanization and inhumane treatment of the victims.",C,N,nan,nan,n
761,trump better deal with these muslims before they kill me.,"It is an image of a bald man sitting at a table with a white tank top, devil horns, cigarette, and wine bottle.","It is an image of a bald man sitting at a table with a white tank top, devil horns, cigarette, and wine bottle. The author describes the image as trump better deal with these muslims before they kill me.",Trump favors stricter immigration regulations. Many immigrants to America are Muslims from countries with terrorism problems.,Muslims are dangerous and Trumps policies will help protect Americans.,Trump should focus on dealing with Muslims before they become a threat.,Muslims are dangerous and should be dealt with before they harm others.,The author is suggesting that Trump should focus on dealing with Muslims before they harm him.,A,H,nan,nan,n
762,ladies if you like the thugs or bad boys welcome to your future dream home.,"It is an image of an old home with a TRUMP sign on the side. No specific races, religions, genders, sexual orientations, or celebrities are present in the image.","It is an image of an old home with a TRUMP sign on the side. No specific races, religions, genders, sexual orientations, or celebrities are present in the image. The author describes the image as ladies if you like the thugs or bad boys welcome to your future dream home.","This requires an understanding of the terms ""thugs"" and ""bad boys"" as they relate to certain types of people, usually men, who exhibit negative or harmful behavior and an understanding of who Donald Trump is and the stereotype of his followers. ","This meme is suggesting that if you like ""thugs"" or ""bad boys,"" you'll be happy in a home with a TRUMP sign, implying that Trump supporters are similar to these types of people.","The author is suggesting that if you like ""thugs"" or ""bad boys,"" you'll be happy in this future home, implying that it's a place where such people are welcome.","This meme is suggesting that if you like ""thugs"" or ""bad boys,"" you'll be happy in a home with a TRUMP sign on it.",Trump supporters are bad in a typical societal sense. ,D,N,nan,nan,n
763,think pedophil hould be execut,It is an image of a guillotine.,"It is an image of a guillotine. Text reads ""I think pedophiles should be executed"".",Pedophiles are those who are attracted to prepubescent children. ,Pedophiles should be executed.,The author believes that pedophiles should be put to death.,The meme is advocating for the death penalty for pedophiles.,The author believes that pedophiles should be executed as a form of punishment.,A,N,nan,nan,n
764,one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell.,An image of Donald Trump smirking.,An image of Donald Trump smirking. The author describes the image as one simple question why are we letting one man systematically destroy our nation before our eyes? answer mitch mcconnell.,Some people do not approve of Donald Trump as president. Mitch McConnell is the current Senate Minority Leader and is part of the same political party as Donald Trump.,The author is questioning why the nation is allowing Donald Trump to make decisions that they believe are harmful.,Donald Trump and Mitch McConnell are destroying the United States.,The author believes that Mitch McConnell is allowing Donald Trump to destroy the nation.,The meme is criticizing Donald Trump's presidency and suggesting that Mitch McConnell is responsible for allowing it to continue.,B,N,nan,nan,n
765,"obama said he had no prior knowledge that hillary clinton had a secret, private email server in other news. obama used a secret name when sending secret emails to hillary's secret private email account.",It is an image of Will Ferrell as the titular character of The Anchorman.,"It is an image of Will Ferrell as the titular character of The Anchorman. The person in the meme says that obama said he had no prior knowledge that hillary clinton had a secret, private email server in other news. obama used a secret name when sending secret emails to hillary's secret private email account.","In The Anchorman, Will Ferrell plays a news anchor. Hillary Clinton was criticized for hosting a private email server during her time as the Secretary of State instead of using the government-provided email services.",The meme is saying that Obama is lying about having not known about Clinton's private email server.,"The meme is suggesting that Obama and Hillary Clinton were secretly communicating through private emails, which is a controversial topic.",The author is suggesting that Obama was aware of Clinton's private email server and used a secret name to communicate with her.,Obama used a secret name when sending secret emails to Hillary's private email account.,A,N,nan,nan,n
766,piss off the muslims by saying merry christmas to all!.,It is an image of Santa Claus sitting in a chair by a fireplace with laptop in his lap. .,It is an image of Santa Claus sitting in a chair by a fireplace with laptop in his lap. . The person in the meme says that piss off the muslims by saying merry christmas to all!.,Christmas celebrates the birth of Jesus Christ and is in a Christian holiday. Muslims do not worship Jesus Christ or celebrate Christmas. ,The meme is encouraging people to offend Muslims by wishing them a Merry Christmas.,"The meme is promoting the idea that saying ""Merry Christmas"" is a way to offend Muslims.","The meme is promoting the idea that saying ""Merry Christmas"" is a way to annoy or provoke Muslims.",It is funny to annoy Muslims as they are very intolerant. ,D,H,nan,nan,n
767,when i grow up i want to be a scientist.,The image shows a young African American boy holding some books and smiling.,The image shows a young African American boy holding some books and smiling. The author describes the image as when i grow up i want to be a scientist.,Children often have aspirations and dreams for the future.,The meme is making fun of the idea of a young African American boy aspiring to be a scientist.,The author is expressing his dream of becoming a scientist.,The boy in the image has aspirations to become a scientist.,The child wants to be a scientist in the future.,D,N,nan,nan,n
768,"""you think i'm a terrorist but i identify as a firework"".",It is an image of people dressing in white clothes wearing belts with explosives on them. .,"It is an image of people dressing in white clothes wearing belts with explosives on them. . The person in the meme says that ""you think i'm a terrorist but i identify as a firework"".",Some people identify as a gender that differs from their sex. ,"The meme is trying to make a joke about people who identify as a different gender than their biological sex, comparing it to someone identifying as a firework when they are actually a terrorist.",The meme is making fun of people who identify as a different gender by comparing it to someone identifying as a firework.,"The meme is comparing the person's self-identification as a ""firework"" to someone who identifies as a different gender.",The author intends to mock the idea of gender identity. ,D,H,nan,nan,n
769,when your dishwasher is broken so you take it back to walmart to get a new one.,This image shows a woman on the street and her belongings. The gender is specified and the woman is racially ambiguous.  There is no sexual orientation information or celebrities. .,This image shows a woman on the street and her belongings. The gender is specified and the woman is racially ambiguous.  There is no sexual orientation information or celebrities. . The author describes the image as when your dishwasher is broken so you take it back to walmart to get a new one.,1. Familiarity with the concept of a dishwasher and its function in a household. 2. Understanding of the process of returning a broken appliance to a store like Walmart and purchasing a new one. 3. Understanding the common view that women are viewed as subservient and only good for housework,Women are meant for doing dishes. ,Women are only good for housework and should not be seen on the streets.,"Women are often seen as responsible for household chores, and when something breaks, they are expected to fix it.",The woman in the image is carrying her belongings because she is homeless and has to return to Walmart to get a new dishwasher.,A,H,nan,nan,n
770,what do you want to do? win!! when do you want to do it? now!.,It is an image of five people sitting on a set of stairs. They are of various races and genders.,It is an image of five people sitting on a set of stairs. They are of various races and genders. The author describes the image as what do you want to do? win!! when do you want to do it? now!.,,The meme is promoting a sense of urgency and determination in achieving one's goals.,The author is saying that they are ready to take action and win now.,You want to win now.,The meme is encouraging people to take action and make a change now.,C,N,nan,nan,n
771,"when your girl is bulimic, but you like gagging sounds, so you call her ""fatty"" while you beat your meat in the shower.","It is an image of a woman with her mouth open near a toilet who is gagging herself. Specific races present in the image include the woman being Caucasian. Specific religions, genders, and sexual orientations are not present in the image. There are no specific celebrities present in the picture.","It is an image of a woman with her mouth open near a toilet who is gagging herself. Specific races present in the image include the woman being Caucasian. Specific religions, genders, and sexual orientations are not present in the image. There are no specific celebrities present in the picture. The author describes the image as when your girl is bulimic, but you like gagging sounds, so you call her ""fatty"" while you beat your meat in the shower.","This requires an understanding of eating disorders, specifically bulimia, and an awareness of the objectification and mistreatment of women in society. This requires a familiarity with the concept of ""beating your meat,"" which is a slang term for masturbation. ","The author is suggesting that the woman's bulimia is being used as a way to objectify and demean her, while the man in the scenario is getting sexual pleasure from it.",You can find sexual enjoyment in your girlfriend's mental illness. ,The meme is making fun of bulimia and the mistreatment of women.,The meme is making light of a serious issue (bulimia) and promoting the objectification and mistreatment of women.,B,H,nan,nan,n
772,"with my pink hijab, looking fly.",It is an image of a Muslim woman wearing a pink hijab while standing on a sidewalk in a city. .,"It is an image of a Muslim woman wearing a pink hijab while standing on a sidewalk in a city. . The person in the meme says that with my pink hijab, looking fly.","""Looking fly"" means to look impressive or stylish in clothing. ",The Muslim woman is expressing her individuality and style through her pink hijab.,The Muslim woman is confident and fashionable in her pink hijab.,The Muslim woman is confidently expressing her identity and style through her pink hijab.,The Muslim woman thinks she looks nice with her pink hijab. ,D,N,nan,nan,n
773,and just like that fox news and trump stopped caring about the caravan.,It is a black and white image of Tom Hanks wearing glasses and dark clothing.,It is a black and white image of Tom Hanks wearing glasses and dark clothing. The author describes the image as and just like that fox news and trump stopped caring about the caravan.,"Tom Hanks is a very famous and beloved actor who has been informally given titles like ""America's Dad."" Tom Hanks focuses his public messaging around uniting America. Fox News is a conservative news platform and Trump is a conservative Republican politician, and both Fox News and Trump care deeply about the divisive political issue of immigration.",Tom Hanks' public messaging has the power to change the focus of conservative media and politicians.,Tom Hanks unites America despite its politically divisive climate.,The author is saying that Tom Hanks's popularity and message of unity has overshadowed the political issue of the caravan.,The meme is making fun of Tom Hanks's perceived influence on politics and suggesting that his involvement in the caravan issue is not genuine.,B,N,nan,nan,n
774,one of the worst tragedies of our time.,"It is an image of the twin towers in New York City burning during the September 11, 2001 terrorist attack.","It is an image of the twin towers in New York City burning during the September 11, 2001 terrorist attack. The author describes the image as one of the worst tragedies of our time.","On September 11, 2001, terrorists flew two planes into the twin towers in New York City, killing thousands of civilians.","The death of civilians in the twin towers during the September 11, 2001 terrorist attack was a tragedy.","The meme is commemorating the tragic event of September 11, 2001.","The meme is reminding people of the tragic event that occurred on September 11, 2001.",The 9/11 terrorist attacks were a significant tragedy in New York City's history.,A,N,nan,nan,n
775,portrait of a psychopath.,It is an image of a hooded and make-up clad man looking creepy.,It is an image of a hooded and make-up clad man looking creepy. The author describes the image as portrait of a psychopath.,Psychopathy is a mental illness. It has negative connotation.,The image is portraying a person with a mental illness in a negative light.,The author is suggesting that the man in the image is a psychopath.,The subject of the meme is a psychopath.,The man in the image is a psychopath.,C,N,nan,nan,n
