text,image_caption,surface_message,background_knowledge,A,B,C,D,expert_label
these people have to walk 20 miles a day for fresh water then why don't they move closer to the fucking water??.,The top image shows a group of African people carrying water. The bottom image shows a boy shrugging his shoulders.,The top image shows a group of African people carrying water. The bottom image shows a boy shrugging his shoulders. The author describes the image as these people have to walk 20 miles a day for fresh water then why don't they move closer to the fucking water??.,"In some parts of Africa, people struggle to access fresh water.",Africans are lazy and should move closer to water sources.,The meme is criticizing the lack of infrastructure and resources in Africa.,It is funny that impoverished people in Africa struggle to access fresh water.,The author is suggesting that these people should move closer to the water source to make their lives easier.,H
"dad, i've had too much to drink again.",It is an image of a 1920s photograph of a man in a top hat talking to a young boy.,"It is an image of a 1920s photograph of a man in a top hat talking to a young boy. The person in the meme says that dad, i've had too much to drink again.",1. Awareness of the potential consequences of excessive drinking or making poor choices. 2. Children should not drink alcohol.,"The man in the top hat is the boy's father, and he is warning him about the dangers of excessive drinking.",The meme is making fun of a father who drinks too much and the negative impact it has on his child.,The meme is highlighting the dangers of underage drinking and the importance of responsible parenting.,The young child is an alcoholic who has drank multiple times.,N
christians don't believe they evolved i agree.,"A man on a suit on the phone talking, he is white.","A man on a suit on the phone talking, he is white. The person in the meme says that christians don't believe they evolved i agree.",1 christians do not believe in evoloution. 2 evoloution can also be used a term to describe growth and becoming a better person or group of people.,the author is trying to convey that christians have not become better people or changed at all.,Christians don't believe in evolving or growing as a person or group.,Christians don't believe in personal growth or becoming better people.,The author agrees with Christians that they did not evolve.,N
just as i suspected   you're stupid from this angle as well,It is an image of an owl looking at the camera with an upside-down head.,"It is an image of an owl looking at the camera with an upside-down head. The owl in the image is saying, ""just as i suspected"" and ""you're stupid from this angle as well"".",,The image is playfully poking fun at the viewer.,The owl is saying that the person in the meme is stupid from any angle.,The meme is making fun of people who are perceived as stupid or ignorant.,The author is making a joke about the owl's upside-down head and how it looks stupid from any angle.,N
"beheaded, shot and stoned to death: 369 trans people killed this year you gotta pump those numbers up. those are rookie numbers.",It is an image of a man in a blue shirt holding up his hand smiling. .,"It is an image of a man in a blue shirt holding up his hand smiling. . The person in the meme says that beheaded, shot and stoned to death: 369 trans people killed this year you gotta pump those numbers up. those are rookie numbers.",Transgender people are those gender identity differs from that typically associated with the sex that they were originally born with. ,"The more transgender people are killed, the better.","The more transgender people are killed, the higher the numbers.",Trans people don't deserve to exist as they are doing something rightfully wrong since they don't fit the norms. ,The author is making light of the violence and deaths of transgender people.,H
what kind of punch can take out 20 kids and 6 adults? a sandy hook.,It is an image of a white fist.,It is an image of a white fist. The author describes the image as what kind of punch can take out 20 kids and 6 adults? a sandy hook.,A hook is a type of punch. Sandy Hook was the first school shooting. The word hook has two meanings in this context.,"The author is making a joke about the Sandy Hook shooting, suggesting that a ""Sandy Hook"" punch could take out 20 kids and 6 adults.",The meme is making a joke about the Sandy Hook shooting.,School shootings are good.,"Sandy Hook, the school shooting, was a very deadly event.",N
when i grow up.. lol nevermind.,This is a image of a young bald boy smiling toward the camera. The boy is outside and is resting his head on his hands.,This is a image of a young bald boy smiling toward the camera. The boy is outside and is resting his head on his hands. The person in the meme says that when i grow up.. lol nevermind.,1. Understanding the connotations of youth baldness with chemotherapy and cancer.,The meme is making a joke about the boy's baldness and the idea of growing up.,The boy has cancer and will not live long enough to become anything.,The meme is making fun of a child with cancer.,"The author is making a joke about the boy's baldness, implying that he will never grow up or achieve his dreams because of his current appearance.",H
bills comin for ya on friday like.,"It is an image of a cartoon pig with a golden tooth, smoking a cigar, and looking smug. It is wearing fancy clothes and a money sign tie.","It is an image of a cartoon pig with a golden tooth, smoking a cigar, and looking smug. It is wearing fancy clothes and a money sign tie. The author describes the image as bills comin for ya on friday like.",Bills are money owed for services due after a period of time. Bills are expensive.,Bills are overly expensive,The meme is making fun of people who owe money and have to pay it back.,"The author is saying that the pig is rich and powerful, and it's time for others to pay their debts.",Paying bills is a stressful and expensive responsibility.,N
i'd like the porn in my room to be disabled we only have regular porn you sick bastard,It is an image of a white man at a reception desk talking to the female receptionist.,"It is an image of a white man at a reception desk talking to the female receptionist. The man says ""I'd like the porn in my room to be disabled"" and the female receptionist responds ""we only have regular porn you sick bastard.""","""Disabled porn"" is porn involving disabled actors and is associated with sexual fantasies that are considered socially unacceptable. The word ""disabled"" could refer to a person's disability or the disallowing or removal of something.",The meme is making fun of how the man's statement could be interpreted in a socially unacceptable way.,The meme is making fun of disabled people and their sexual desires.,"The man is requesting the removal of porn involving disabled actors from his hotel room, but the receptionist misunderstands his request and assumes he wants regular porn.","The author is making a joke about the receptionist's misunderstanding of the term ""disabled porn"" and her assumption that the man is asking for something perverse.",N
farm equipment and livestock don't mix.,It is an image of a black man and a white woman hugging and smiling for the camera.,It is an image of a black man and a white woman hugging and smiling for the camera. The author describes the image as farm equipment and livestock don't mix.,"In the past, the majority of slaves were black and used for work such as handling farms. Farmers usually fatten their livestock to get more meat and sell their livestock for more.","The meme is suggesting that interracial relationships are not a good mix, similar to how farm equipment and livestock don't mix.",Black people and white people should not mix.,The author is making a racist comment about interracial relationships.,"The author is calling the black man farm equipment, making fun of black slaves in the past working on farms, and calls the woman livestock, implying she is fat. This meme is both racist and offensive.",H
when god grants you a child after 20 years of your marriage and israel bombs him few years later.,"In the image, several men face toward the camera with angry looks on their faces. The men appear to be middle eastern descent and are wearing traditionally Islamic clothing.","In the image, several men face toward the camera with angry looks on their faces. The men appear to be middle eastern descent and are wearing traditionally Islamic clothing. The author describes the image as when god grants you a child after 20 years of your marriage and israel bombs him few years later.",1. Understanding of different religions and their followers (Islam and Judaism). 2. Knowledge of the Israeli-Palestinian conflict and its impact on civilians. 3. Awareness of the emotional and psychological impact of war and violence on families.,The meme is making fun of the suffering of Palestinian families due to the Israeli-Palestinian conflict.,The meme is expressing the pain and suffering that families in conflict zones experience.,Israel treats its Palestinian residents with great cruelty.,The author is expressing the pain and suffering that families in conflict zones experience when their children are harmed or killed due to the ongoing violence.,N
black people then black people now.,It is an image of 2 pictures side by side of people playing a game on the beach and another of 2 people fighting. .,It is an image of 2 pictures side by side of people playing a game on the beach and another of 2 people fighting. . The author describes the image as black people then black people now.,,Black people are violent and have not changed over time.,Black people are violent and haven't changed over time.,Black people are still fighting and playing games on the beach.,Black people have a constant presence in society and are relatively important as they make an impact. ,H
blame other countries for having no culture rape women everyday.,It is an image of a man speaking into a microphone talking to an audience.,It is an image of a man speaking into a microphone talking to an audience. The person in the meme says that blame other countries for having no culture rape women everyday.,Rape is a violation of a person's bodily autonomy and is considered a grave violation of their rights. ,Rape is a normal part of other cultures.,"You should have a culture in your country if not, rape woman. ",The meme is blaming other countries for not having a culture that respects women's rights and autonomy.,Other countries have no culture and rape women every day.,H
when dad keeps banging the goat instead of you.,It is an image of a middle eastern woman wearing a pink hijab on a city street.,It is an image of a middle eastern woman wearing a pink hijab on a city street. The author describes the image as when dad keeps banging the goat instead of you.,Awareness of the misconceptions and stereotypes surrounding Islamic culture.,The meme is making fun of the misconception that Muslim women are forced to wear hijabs and are oppressed.,The meme is making fun of the misconception that Middle Eastern women are oppressed and forced to wear hijabs.,"The woman in the image is being compared to a goat, which is a derogatory and offensive comment.",Islamic women are upset that their fathers have sex with goats instead of them.,H
"""babies aren't actually people"" ""jews aren't actually people"" ""it's not murder"" ""it's not murder"" i had an abortion","It is an image of two pictures side by side, with one picture showing photographs oh Hitler and his henchmen in 1930s and 1940s photographs, and the other image showing women fighting for abortion rights.","Hilter and his henchmen in one picture say, ""babies aren't actually people"" and ""Jews aren't actually people"", and another image with women fighting for abortion rights saying, ""it's not murder"" and ""its not murder I had an abortion.""","Adolf hitler was the German Chancellor during world war 2 and facilitated things like the Holocaust which was the genocide of Jews and also involved killing babies. Woman are fighting for abortion rights, which is the right to have an abortion which is the process of termination of a pregnancy by removal or expulsion of an embryo or fetus.","The meme is comparing the views of Hitler and his henchmen with the views of women fighting for abortion rights, suggesting that both groups dehumanize certain groups of people.",The author is trying to convey that woman fighting for abortion rights saying that abortion is not murder is similar to Hitler saying babies and Jews are not people. This is discriminatory against Jews as well as woman that are fighting for abortion rights.,Abortion is not murder and it's okay to have an abortion.,"The meme is comparing the beliefs of Hitler and his henchmen to the beliefs of women fighting for abortion rights, suggesting that both groups dehumanize certain groups of people.",H
christians are retarded.,It is an image of a group of all white people in a church and they are all of different genders and ages and one man is holding a bible.,It is an image of a group of all white people in a church and they are all of different genders and ages and one man is holding a bible. The author describes the image as christians are retarded.,"1 retarded is an offensive word for those who are mentally challenged. 2 christians are often seen as stupid, unintelligent and ignorant.",Christians are stupid.,The author is saying that people who follow christianity are the same as people who are mentally challenged.,Christians are mentally challenged.,Christians are unintelligent.,H
islamic warrior's funeral in palestine.,It is an image of a middle eastern militia group with their guns pointed in the air.,It is an image of a middle eastern militia group with their guns pointed in the air. The author describes the image as islamic warrior's funeral in palestine.,Islamic warriors fight in Palestine.,The meme is showing a funeral for Islamic warriors in Palestine.,The author is making fun of the Islamic warrior's funeral in Palestine.,The Islamic warriors are celebrating a funeral in Palestine.,The meme is making fun of Islamic warriors and their funerals.,N
when you run over antifa protestors and you hear one being dragged.,It is an image of a Caucasian man in sunglasses standing near a group of people and grinning.,It is an image of a Caucasian man in sunglasses standing near a group of people and grinning. The author describes the image as when you run over antifa protestors and you hear one being dragged.,Antifa is a political protest and activism group that are considered radical by conservatives.,Antifa protestors being physically harmed is good or satisfying.,The author is suggesting that running over Antifa protestors is a good thing.,The meme is suggesting that running over Antifa protestors is a good thing.,It is okay to run over Antifa protestors.,N
how you look when youre black and you celebrate the 4th of july.,It is an image of a black clown.,It is an image of a black clown. The author describes the image as how you look when youre black and you celebrate the 4th of july.,1 4th of july is an american holiday where they celebrate the independance of america. 2 when independance day happened black people were enslaved and not free.,Black people should not celebrate the 4th of July.,Black people shouldn't celebrate the 4th of July.,Black people are not truly free in America.,The author is saying that celebrating independance day as a black person makes you a foolish clown because black people didnt get their independance or freedom then.,H
i was asked who my favourite x-men character was apparently my answer was inappropriate.,A white woman from the 1980s is posing for the camera. There are a crowd of people behind her in the background. .,A white woman from the 1980s is posing for the camera. There are a crowd of people behind her in the background. . The author describes the image as i was asked who my favourite x-men character was apparently my answer was inappropriate.,X-men is a superhero comic book and movies series. Expressing sexual behavior and preferences is seen as a inappropriate or taboo topic. ,The author's favorite character is a woman because she is the most sexually attractive to him. ,The author's answer to the question about their favorite X-men character was considered inappropriate due to its sexual nature.,The author's answer to the question about their favorite X-Men character was considered inappropriate because it involved expressing sexual behavior or preferences.,The author's favorite X-men character is inappropriate.,N
be happy you dont have neanderthal dna.,It is an image of a girl with 4 fingers holding a piece of food. .,It is an image of a girl with 4 fingers holding a piece of food. . The author describes the image as be happy you dont have neanderthal dna.,"Neanderthal DNA plays a role in hair texture, height, sensitivity of the sense of smell, immune responses, adaptations to high altitude, and other characteristics in modern humans",People with Neanderthal DNA are less attractive.,People with Neanderthal DNA are inferior.,Neanderthal DNA is undesirable.,"If you don't have Neanderthal DNA, be glad because having it is a shame. ",H
my girlfriend went to my family and accused me of beastiality i had no idea goats could even talk.,It is an image of a young middle eastern man with a beard and Muslim hijab.,It is an image of a young middle eastern man with a beard and Muslim hijab. The person in the meme says that my girlfriend went to my family and accused me of beastiality i had no idea goats could even talk.,Beastiality is the practice of having sexual relations with a non-human animal. Goats are an animal. It is generally frowned upon.,The author is joking about a false accusation of beastiality.,The meme is making fun of Muslims and perpetuating a stereotype that they have sexual relations with goats.,Muslims engage in beastiality.,The author is joking about being accused of having relations with a goat.,H
black friday sale.,It is an image of many people gathered together in a large crowd. .,It is an image of many people gathered together in a large crowd. . The author describes the image as black friday sale.,Black Friday is a capitalist event in America after Thanksgiving in which prices are reduced in preparation for Christmas holidays. Humans are often sold in human trafficking but this is generally looked down upon.,The author is comparing the chaos of a Black Friday sale to the chaos of human trafficking.,The meme is making fun of Black Friday and human trafficking.,We should buy and sell humans.,Black Friday sales are similar to human trafficking in terms of people being treated as commodities.,N
let's reduce drunk driving by taking cars away from sober drivers makes as much sense as gun control.,It is an image of an Asian woman in the driver's seat of a car with her hand reaching out of the window doing the okay sign.,It is an image of an Asian woman in the driver's seat of a car with her hand reaching out of the window doing the okay sign. The author describes the image as let's reduce drunk driving by taking cars away from sober drivers makes as much sense as gun control.,"Drunk drivers are generally much less safe than sober drivers. Gun control aims to reduce gun violence casualties by restricting access to some firearms. Some of those opposed to gun control complain that it mostly affects people who follow the law anyway, not those likely to commit gun violence.",The author is saying that taking cars away from sober drivers is as illogical as gun control.,Gun control is not an effective solution to gun violence.,The meme is arguing against gun control by comparing it to taking cars away from sober drivers.,Gun control is a bad idea because it mainly restricts access to from those least likely to cause gun violence.,N
"are my sins forgiven now, father?.",It is an image of a 10-year-old boy with chocolate all over his face. This tongue is sticking out as it appears that he is licking the chocolate.  .,"It is an image of a 10-year-old boy with chocolate all over his face. This tongue is sticking out as it appears that he is licking the chocolate.  . The person in the meme says that are my sins forgiven now, father?.",,"Sins are forgiven by god if we admit to them. The sins have been removed, and restoration has taken place when someone is referring to sins being forgiven. ",The boy is asking for forgiveness for his sins.,"The boy is asking if his sins are forgiven, implying that he has done something wrong.",Children are sinful and need forgiveness.,N
chocolate melts at 86*f.,It is an image of 17 pieces of chocolate stacked on top of each other with chocolate sauce dripped onto them.,It is an image of 17 pieces of chocolate stacked on top of each other with chocolate sauce dripped onto them. The author describes the image as chocolate melts at 86*f.,Chocolate is a dessert that is enjoyed in all forms and melts at low temperatures.,The meme is making fun of the fact that chocolate melts at a low temperature.,Chocolate can get messy.,The author is saying that the chocolate is melting because of the heat.,Chocolate is a delicious treat that can be enjoyed in various forms.,N
farmville 1943 deluxe.," It is an image of 10,000 bodies of victims of the holocaust piled up in mass graves."," It is an image of 10,000 bodies of victims of the holocaust piled up in mass graves. The author describes the image as farmville 1943 deluxe.","FarmVille is a popular social networking game where players take on the role of a virtual farmer and are tasked with managing and growing their own virtual farm. The Holocaust was a genocide that occurred during World War II, primarily between 1941 and 1945, under the leadership of Nazi Germany and Adolf Hitler. The Holocaust involved the systematic persecution and murder of approximately six million Jews, ",The Holocaust is being compared to a game.,"The author is trying to refer to the dead victims of the Holocaust in a funny way by referring to them as items, such as crops, in the game called Farmville. This is offensive and disrespectful towards the victims of the Holocaust.",The Holocaust is a game.,The Holocaust was a game.,H
when you're shooting up the school and the autistic kid takes his glock out to join you we weren't expecting special force.,The image depicts three stormtroopers standing together.,The image depicts three stormtroopers standing together. The author describes the image as when you're shooting up the school and the autistic kid takes his glock out to join you we weren't expecting special force.,1. Stormtroopers are fictional soldiers in the Star Wars universe. 2. Special forces are military units trained for special operations. 3. A stereotype about autistic people is that they are more likely to be school shooters. 4. School shooters are usually acts of terrorism conducted by a lone actor.,The meme is making fun of autistic people and school shootings.,"The author is making a joke about an autistic person joining a school shooting, which is a serious and sensitive topic.",Autistic people are school shooters. / School shootings are good.,Autistic people are not expected to be effective in dangerous situations.,H
did you know that the chinese eat dogs disgusting savages.,It is 2 dogs and a cat looking over a sign.,It is 2 dogs and a cat looking over a sign. The person in the meme says that did you know that the chinese eat dogs disgusting savages.,1 there is a stereotype that chinese people eat dogs.,Chinese people are savages for eating dogs.,The author is poking fun at a stereotype about chinese people and having dogs comment on it.,Chinese people are disgusting savages because they eat dogs.,Chinese people are disgusting savages for eating dogs.,H
and then i beat the usa immigration sytem by marrying my own brother! and i even got a job in congress! these americans are so stupid!!!.,It is an image of Ilhan Omar laughing.,It is an image of Ilhan Omar laughing. The person in the meme says that and then i beat the usa immigration sytem by marrying my own brother! and i even got a job in congress! these americans are so stupid!!!.,Ilhan Omar is a Muslim U.S. representative who secured asylum in the United States from Somalia as a child. ,The meme is mocking the U.S.,The author is making fun of Ilhan Omar's immigration story and suggesting that she is unqualified for her position in Congress.,The meme is making fun of Ilhan Omar's immigration story and her position in Congress.,The meme is suggesting immigrants are deceitful.,H
"pedal faster patrick, the owners are coming.",The image depicts a man in a hoodie looking around and stealing a bike.,"The image depicts a man in a hoodie looking around and stealing a bike. The author describes the image as pedal faster patrick, the owners are coming.","""Pedal faster"" is something you say to a person on a bike to tell them to bike faster.",The meme is making fun of bike theft.,The meme is suggesting that the person in the image should bike faster to avoid getting caught stealing the bike.,The meme is making fun of stealing a bike and running away from the owners.,The author is telling the thief to bike faster because the owners are coming.,N
how to get a black guy to see his baby.,It is an image of an older black man inspecting a pair of glasses.,It is an image of an older black man inspecting a pair of glasses. The author describes the image as how to get a black guy to see his baby.,1 often black men are stereotyped as being abandoned by their father or abandoning their on children.,The meme is making fun of the stereotype that black men don't take responsibility for their children.,Black men are irresponsible and need help to see their children.,Black men are often absent fathers.," The author is trying to convey a message that suggests a stereotype or joke about African American men and fatherhood, implying that they might need assistance or encouragement to recognize or acknowledge their children.",H
"""one man's trash is another man's treasure"" is a great quote, but it's not the best way to tell your kid he's adopted.",It is an image of a tiger laying on a rock looking at the camera.,"It is an image of a tiger laying on a rock looking at the camera. The author describes the image as ""one man's trash is another man's treasure"" is a great quote, but it's not the best way to tell your kid he's adopted.","Understanding the quote ""one man's trash is another man's treasure"" which means that something that is not valuable or important to one person may be valuable or important to someone else",The meme is making a joke about telling a child they are adopted in a hurtful way.,Something that is not valuable or important to one person may be valuable or important to someone else.,The meme is trying to make a joke about adoption by comparing it to the quote.,"The meme is making fun of the quote by using it in a situation where it is not appropriate, like telling a child they are adopted.",N
"""do you like your juice cold?"" ""no, i like my jews well done"""," It is an image of a 1940s black and white photo of a man, namely Adolf Hitler, and a woman sitting at a dining table.","The person serving Adolf Hitler asks Hitler, ""do you like your juice cold?"" and Hitler replies saying, ""no, i like my jews well done.""",Adolf Hitler was Chancellor of Germany during World War 2 and facilitated things like the Holocaust and creation of concentration camps where they killed the Jews. Well done is a certain way to cook meat.,The meme is making a tasteless joke about the Holocaust and Hitler's anti-Semitic beliefs.,The author is making a joke out of the Jews that Hitler killed by relating them to killing an animal and cooking them till they are well done. This is discrimination against Jews.,Adolf Hitler enjoyed killing Jews.,Jews were treated like meat in the Holocaust.,H
absolutely haram absolutely halal.,The first image is of a caucasian woman in a bikini at a beach sitting on a railing or a bench. The second image is of a woman completely covered standing on a beach.,The first image is of a caucasian woman in a bikini at a beach sitting on a railing or a bench. The second image is of a woman completely covered standing on a beach. The author describes the image as absolutely haram absolutely halal.,Haram means forbidden and Halal means permissable in Islamic teachings. Islamic people are seen as misogynistic because they expect their women to cover themselves whenever they are outside.,The meme is comparing two different cultural norms regarding women's clothing in public spaces.,The meme is making fun of the Islamic tradition of women covering themselves.,Islamic people are weird because their women must cover themselves.,"The author is saying that one woman is dressed in a way that is considered acceptable in Islamic culture, while the other woman is dressed in a way that is considered unacceptable.",H
"everyone told me ''he is gonna leave"".", It is an image of a 10-year-old African American boy hugging his Caucasian mother in a park.," It is an image of a 10-year-old African American boy hugging his Caucasian mother in a park. The person in the meme says that everyone told me ''he is gonna leave"".",A lot of fathers leave their partner and child and do not return to see them.,"The meme is joking that the boy's father left him and his mother, and the boy is surprised that he is still there.","The author is trying to say that everyone predicted the father was going to leave the wife and his child. We can imply the father left since there is no father in the picture and the meme says that ""he"" left, and it is clearly not the boy so it suggests that it is the father.",The father of the child in the meme left the family.,The father left the family.,H
you are islamaphobic look at their beautiful parties.,The image shows three men wearing masks and brandishing rocket launchers.,The image shows three men wearing masks and brandishing rocket launchers. The author describes the image as you are islamaphobic look at their beautiful parties.,"The rocket launchers are the ""fireworks"" of the mentioned ""beautiful parties."" The phrase makes terrorism seem less serious than it actually is. ",The author is making light of terrorism and suggesting that people who are afraid of it are irrational.,Terrorism is not a serious issue.,Disliking terrorism is Islamophobic.,The meme is making fun of terrorism and downplaying its seriousness.,H
300 kg bomb vs 1000 kg bomb.,"It is an image of 2 pictures side by side, one of an Indian soldier funeral and the other of a mountain and barren land.","It is an image of 2 pictures side by side, one of an Indian soldier funeral and the other of a mountain and barren land. The author describes the image as 300 kg bomb vs 1000 kg bomb.","The heavier a bomb is, the more damage it usually does.",The Indian soldier's funeral is less important than the destruction caused by the bombs.,The author is comparing the impact of two bombs by their weight.,The bigger bomb is more destructive.,"The author is implying that the 1000kg bomb did more damage than the 300 kg bomb as the 1000kg bomb changed a whole landscape where the 300kg bomb just killed a few people. Although lives getting lost is significant, it is on a much smaller scale than changing landscapes.",N
keep it up and you'll get some regime change.,"It is an image of an old white man, John Bolton, wearing glasses and a ring. There are no specific religions or sexual orientations present in the picture.","It is an image of an old white man, John Bolton, wearing glasses and a ring. There are no specific religions or sexual orientations present in the picture. The person in the meme says that keep it up and you'll get some regime change.","This requires knowing what ""regime change"" in foreign policy is and the history of John Bolton's influence in hawkish American foreign policy. ",The meme is suggesting that John Bolton's actions will lead to regime change.,John Bolton is a war hawk. ,The author is suggesting that John Bolton's actions will lead to regime change.,The meme is encouraging John Bolton to continue his aggressive foreign policy approach.,N
"can't wait for 2019. suspect is a gender fluid , assigned male at birth wearing non gender specific clothing born caucasian,but identifies as a mountain panda.",Its a white male police officer standing next to his car on the radio.,"Its a white male police officer standing next to his car on the radio. The author describes the image as can't wait for 2019. suspect is a gender fluid , assigned male at birth wearing non gender specific clothing born caucasian,but identifies as a mountain panda.",1 in 2019 the idea of political correctness and reffering to people in a way that doesnt offend them and doesnt assume their sexual orientation or gender was popularised.,the author is saying that these labels and politcal correctness has gotten out of hand with the problem that every politically correct description is too vague.,The meme is making fun of the idea of political correctness and the concept of gender fluidity.,The meme is making fun of the idea of being politically correct and not assuming someone's gender or sexual orientation.,The meme is mocking the idea of political correctness and the use of non-binary pronouns.,H
"""i'd like a book on suicide."" ""fuck off. you won't bring it back.""",It is an image of an 80-year-old Caucasian woman talking on the phone in front of a computer.,"The person on the other end of the phone asks, "" i'd like a book on suicide."" The person in the image replies saying, ""fuck off. you won't bring it back.""",Suicide means the act of a person killing themselves.,People who commit suicide are selfish and don't care about others.,"The author is trying to make a joke on how if someone buys a book on how to suicide and then they suicide, they will not bring the book back because they are dead.",The meme is suggesting that the person asking for a book on suicide is not genuine in their request and is being dismissive.,People who are suicidal are not worth helping.,N
a black chinese now i can die in peace chigga.,It is an image of an African American with his mouth open and arms out.,It is an image of an African American with his mouth open and arms out. The person in the meme says that a black chinese now i can die in peace chigga.,"""Nigga"" is an insulting term for black people.",Black people are inferior to other races.,"The author makes a joke by combining a racial slur with chinese and says ""chigga."" This is insulting towards chinese and black people.",Black people are inferior and can be made fun of.,The meme is making fun of black people and using a racial slur.,H
best holiday gift for muslims.,It is an image of a small pig in front of a white background. .,It is an image of a small pig in front of a white background. . The author describes the image as best holiday gift for muslims.,Eating pork is prohibited in Judaism and Islam.,The meme is mocking Muslims for their religious beliefs and not being able to eat Pork. ,Muslims should not receive pigs as gifts.,Muslims would be offended by receiving a pig as a gift.,Muslims should be given pigs as gifts.,H
chevy guys be like we just got done muddin' ford guys be like we just got done muddin,it is a picture of 2 naked men in a bed.,"its a picture of two men in a bed with the caption ""chevy guys be like we just got done muddin ford guys be like we just got done muddin""",1 Chevy and ford both make strong off-roading vehicles. 2 Mudding refers to the act of driving vehicles off road for terrain or gay sex.,Chevy and Ford guys are into different types of mudding.,Chevy guys are gay.,the message the author is trying to convey is that people who drive chevy or ford vehicles are gay.,Chevy and Ford guys are into off-roading and gay sex.,H
how! can i get dat percap?.,It is an image of a woman wearing a Native American headdress.,It is an image of a woman wearing a Native American headdress. The person in the meme says that how! can i get dat percap?.,Percap refers to per capita payments that are paid to Native Americans.,The meme is making fun of Native American culture and the per capita payments they receive.,The meme is making fun of Native Americans and their financial situation.,Native Americans only want money to be given to them instead of working for it.,The author is making fun of Native Americans and their per capita payments.,H
faceswap ching chong 100.," It is an image of 2 little girls, both Asian, sitting next to each other on a bench."," It is an image of 2 little girls, both Asian, sitting next to each other on a bench. The author describes the image as faceswap ching chong 100.","""Faceswap"" is when you modify or swap the face of one person for another. There is a stereotype of ""ching chong,"" which is often used in a derogatory manner to mock Asian accents.",The meme is mocking Asian accents and perpetuating a stereotype.,"The author is trying to say that the children used faceswap to look Asian. Since the meme uses ""ching chong"" it gives a negative connotation of Asian people and is offensive since it is a derogatory term.",Asian people all sound the same and have the same face.,The meme is making fun of Asian people by using a derogatory stereotype.,H
this offends me ban them do you agree?.,The picture shows a Middle-Eastern woman wearing a hijab and veil.,The picture shows a Middle-Eastern woman wearing a hijab and veil. The author describes the image as this offends me ban them do you agree?.,"Islam is a sensitive topic to some people due to the stigma and stereotypes associated with it.  The concept of ""cancel culture"" refers to the tendency of culture to be offended easily and ban the offenders.","Cancel culture is bad.
If cancel culture exists, then we can cancel Muslims.",The meme is trying to provoke a reaction by asking if people agree with banning the image.,The author is trying to provoke a reaction by suggesting that the image is offensive and should be banned.,People who wear hijabs and veils should be banned because they offend others.,H
somehwere in afghanistan a new book isbeing written 50 shades of sheep.,It is an image of an old man in a turban and dirty potato sack holding a baby goat.,It is an image of an old man in a turban and dirty potato sack holding a baby goat. The author describes the image as somehwere in afghanistan a new book isbeing written 50 shades of sheep.,"""50 Shades of Gray"" is a controversial romance novel.","The author is making a joke about the old man's relationship with the baby goat, comparing it to the controversial novel.",It is making fun of first-work societies that have time and resources to worry about romance.,"The meme is making a joke about the book ""50 Shades of Gray"" and suggesting that it is being written in Afghanistan.",The meme is making fun of the Afghan culture and suggesting that they engage in bestiality.,H
how you feel after reading owen's mortification of sin.,"It is an image of a soldier wearing a kevlar, vest, and glasses in a desert-like terrain yelling.","It is an image of a soldier wearing a kevlar, vest, and glasses in a desert-like terrain yelling. The author describes the image as how you feel after reading owen's mortification of sin.","""Mortification of Sin"" by John Owen is a popular book on purging sin from your life.","The book ""Mortification of Sin"" by John Owen is a powerful and transformative read.","The meme is making fun of the seriousness of the book ""Mortification of Sin"" by John Owen.",It is making fun of people who get super excited about improving themselves.,The author is comparing the intensity of the soldier's expression to the feeling of conviction and determination to change after reading John Owen's book.,N
"my fragile heart at my sex drive - stay back, slut.",It is an image of an annoyed woman in skimpy clothing.,"It is an image of an annoyed woman in skimpy clothing. The person in the meme says that my fragile heart at my sex drive - stay back, slut.",Famous women are often overly sexualized.,It is making fun of people who feel weak or immoral for having a sex drive.,The author is saying that this woman is overly sexualized and should be left alone.,Women who are overly sexualized are sluts.,The meme is criticizing the oversexualization of women in the media.,N
gods chosen terrorists.,Two men in military fatigues on a tank with the Israel flag.,Two men in military fatigues on a tank with the Israel flag. The author describes the image as gods chosen terrorists.,"MEME1. Understanding of the Israeli-Palestinian conflict and its religious and racial aspects. 2. Familiarity with the concept of ""god's chosen people"" in Christianity and Judaism. 3. Awareness of the term ""terrorist"" and its negative connotations.",The meme is suggesting that the Israeli military is a terrorist organization chosen by God.,The Israeli military is composed of terrorists chosen by God.,The Israeli military is made up of terrorists chosen by God.,Jewish people are terrorists.,H
"so i was going down on my grandma the other night, and i tasted horse semen i stopped for a second and thought to myself:is this how she died.",It is an image of a smiling man in an cowboy hat and flannel shirt with his arm around a horse.,"It is an image of a smiling man in an cowboy hat and flannel shirt with his arm around a horse. The person in the meme says that so i was going down on my grandma the other night, and i tasted horse semen i stopped for a second and thought to myself:is this how she died.",Country people are stereotyped as having loose morals when it comes to sex.,Incest is funny.,Country people are sexually immoral.,"The author is joking about the idea of having sex with his grandmother and tasting horse semen, which is a crude and inappropriate joke.",The meme is making a crude joke about a grandmother's death and the stereotype of country people's sexual behavior.,N
what do you do when your dishwasher stops working? slap her on the ass and tell her to get to work.,It is an image of a woman washing dishes.,It is an image of a woman washing dishes. The author describes the image as what do you do when your dishwasher stops working? slap her on the ass and tell her to get to work.,The idea that it is a woman's role to wash dishes is seen as misogynistic.,"Women should be expected to do traditional household chores, even when appliances break.",The author is suggesting that women should be treated as objects and forced to do household chores.,The joke is equating women to dishwashers.,Women should be subservient and do all the housework.,H
